2911	Goudy Open Italic
292	True Doric
293	Goudy Modern
2931	Goudy Modern Italic
294	Goudy Bold
2941	Goudy Bold Italic
2941S	Goudy Bold Italic Swash
295	Cloister Bold
2951	Cloister Bold Italic
296	Goudy Initials
297	Modernistic
298	Bookman Old Style Condensed
300	University of California
3001	Californian [McGrew]
301	Goudy Bible
302	Brush
303	Long Primer Bold Latin
304	Long Primer Ionic
305	Fournier le Jeune
306	Broadway
307	Broadway Engraved
308	Russian Adaptation of No. 8 Series
308	Russian Italic
309	Hadriano
310	Lombardic Capitals
311	Russian Adaptation of No. 11 Series
313	Gallia
315	Deepdene
3151	Deepdene Italic
316	Deepdene Medium
317	Deepdene Bold
3171	Deepdene Bold Italic
318	Russian Adaptation of No. 118 Series
321	Binney Old Style Modified
321	GO TO 32/321 Tallone Max Factor Italic
322	Broad Stroke Cursive
323	Engravers Bold
324	Goudy Cursive
325	Hess Monoblack
327	Goudy Text
328	Bold Face No. 2
329	Sans Serif Light  
329	Sans Serif Light (H91 Characters)
329	Sans Serif Light (H92 Characters)
3291	Sans Serif Light Italic
3291	Sans Serif Light Italic (H91 Characters)
330	Sans Serif Bold
330	Sans Serif Bold (H9 Characters)
330	Sans Serif Bold (H91 Characters)
330	Sans Serif Bold (H92 Characters)
3301	Sans Serif Bold Italic
3301	Sans Serif Bold Italic (H91 Characters)
331	Sans Serif Medium
331	Sans Serif Medium (H91 Characters)
331	Sans Serif Medium (H92 Characters)
332	Sans Serif Extrabold
332	Sans Serif Extrabold (H91 Characters)
3321	Sans Serif Extrabold Italic
333	Sans Serif Extrabold Condensed
334	Artcraft
337	Caslon Old Style
3371	Caslon Old Style Italic
339	Caps in Square
340	Copperplate Gothic Light
341	Copperplate Gothic Light Condensed
342	Copperplate Gothic Heavy
343	Copperplate Gothic Heavy Condensed
344	Copperplate Gothic Heavy Extended
345	Copperplate Gothic Bold
3461	Copperplate Gothic Bold Italic
347	Engravers Roman
348	Engravers Bold
349	Lining Gothic No. 545
350	Lining Gothic No. 7 Modern 
351	Caps in Circle
352	Lightline Title Gothic
353	Baskerville
3531	Baskerville Italic
354	Sans Serif Medium Condensed
354S	Sans Serif Medium Condensed, Greek
357	Sans Serif Light Condensed
358	Pendrawn
359	Woman's Home Companion Face
3591	Woman's Home Companion Face Italic
360	Post Condensed
361So	Scotch Open Shaded Italic
362	Times New Roman
363	Hess Neobold
365	Caps in Circle
366	Gothic, Octic
368	Kennerley Open Capitals
370	Typewriter, Remington Underscore
372	Typewriter, Reproducing Underscore
373	Flash
375	Bodoni
3751	Bodoni Italic
376	Bold Antique
377	Spire
379	Caslon Shadow Title
380	Goudy Heavyface
3801	Goudy Heavyface Italic
382	Goudy Heavyface Condensed
383	Goudy Handtooled
3831	Goudy Handtooled Italic
3831S	Goudy Handtooled Italic Swash
384	Goudy Sans Light
3841	Goudy Sans Light Italic
386	Goudy Sans Bold
388	Wedding Text
390	Stymie Extrabold
3901	Stymie Extrabold Italic
391	Goudy Heavyface Open
392	Goudy Thirty
394	Goudy Old Style
3941	Goudy Old Style Italic
395	Cloister Old Style
3951	Cloister Old Style Italic
398	Bookman, New
400	Granjon
400	Granjon Italic
401	Janson
4011	Janson Italic
402	Bell
4021	Bell Italic
403	Fournier
4031	Fournier Italic
404	Onyx
4041	Onyx Italic
405	Bembo
4051	Bembo Italic
407	Streamline Black
409	Hadriano Stone-Cut
410	Goudy Village
410	Goudy Village Italic
411	Modern Condensed Italic
412	Valiant
417	Speidotype Light
418	Century Bold Condensed
4181	Century Bold Condensed Italic
420	Century Schoolbook
420	Century Schoolbook Italic
4201	Century Schoolbook Italic 
425	Stylescript
427	Goudy Text Shaded
430	Sans Serif Lined
431	Parson's Bold
432	Goudy Franciscan
432	Light Hobo
437	Caslon Old Style
4371	Caslon Old Style Italic
443	Italian Old Style Wide
448	Monotype Initials
4491	GO TO literal 4491 (Script Caps)
452	Lightline Gothic
453	Baskerville Bold
458	Post Roman Heading Letter
461	Nicholas Cochin
4611	Nicholas Cochin Italic
462	Bulmer
4621	Bulmer Italic
466	Lining Gothic
470	Typewriter, Underwood Underscore
471	Typewriter, Remington Noiseless Elite
472	Typewriter, Royal Underscore
473	Flash Bold
475	Bradley, German Adaptation
477	Typewriter, IBM Elite Underscored
479	Westinghouse Gothic
481	Gothic (Helvetica Light)
482	Cooper
4821	Cooper Italic
490	Stymie Extrabold Condensed
495	Cloister Black, German Adaptation
496	Gothic (Helvetica)
500	Granjon Bold
503	(Montgomery) Ward Extended
505	(Montgomery) Ward and Italic
507	Franklin Gothic Extra Condensed
508	Gothic (Helvetica Medium)
515	Gothic Condensed
517	Speidotype Bold
518	Century Bold Extended
520	Century Mono-Photo
537	New Caslon
5371	New Caslon Italic
543	New Gothic Condensed
548	Garamond Bold
5481	Garamond Bold Italic
551	Caps in Circle
565	Caps in Circle
566	Gothic, Octic No. 2
571	Typewriter, Remington Noiseless Elite Underscore
572	Typewriter, Reproducing Bold Broadface
575	Bodoni Bold Panelled
582	Cooper Tooled
590	Stymie Medium Condensed
600	Hess New Bookbold
600	Hess New Bookbold Italic
603	20th Century Extrabold
6031	20th Century Extrabold Italic
604	20th Century Bold
6041	20th Century Bold Italic
605	20th Century Medium
6051	20th Century Medium Italic
606	20th Century Light
6061	20th Century Light Italic
607	20th Century Extrabold Condensed
6071	20th Century Extrabold Condensed Italic
608	20th Century Medium Condensed
6081	20th Century Medium Condensed Italic
609	20th Century Ultrabold
6091	20th Century Ultrabold Italic
610	20th Century Ultrabold Condensed
6101	20th Century Ultrabold Condensed Italic
611	GO TO 61/611 (Cochin Old Style / Italic)
612	20th Century Bold Condensed
614	20th Century Ex. Bold Extended
616	Cochin Bold
6161	Cochin Bold Italic
617	Speidotype Light
618	Century Text
620	Century Schoolbook Bold
630	Collier Heading
637	American Caslon
6371	American Caslon Italic
641	GO TO 64/641 (Cheltenham Old Style / Italic)
648	American Garamond
6481	American Garamond Italic
650	Craw Clarendon Book
665	Clarendon Bold Extended
670	Typewriter, Redesigned Underwood
671	Typewriter, New Royal Underscored
675	Ultra Bodoni
6751	Ultra Bodoni Italic
681	GO TO 68/681 (MacFarland / Italic)
690	Stymie Light Condensed
700	Poster
701	GO TO 70/701 (Typewriter Remington / Type. Rem. Goudy Italic)
707	Franklin Gothic Condensed
771	GO TO 77/771 (Alternate Gothic No. 2 / Italic)
775	Bodoni Bold Condensed
781	GO TO 78/781 (Caslon Old Roman / Italic)
790	Stymie Bold
875	Bodoni Book
8751	Bodoni Book Italic
890	Squareface
891	GO TO 89/891 (Clearface / Italic)
901	Piece Accents, Roman
902	Piece Accents, Bold
903	Piece Accents, Gothic
904	Piece Accents, Open
905	Title, Half 12 Point
971	GO TO 97/971 (Powell / Italic)
975	Recut Bodoni Bold
975	Recut Bodoni Bold Italic
1041	Runic Condensed Title
1111	GO TO 11/111/1111 (DeVinne Italic)
1891	GO TO 189/1891 (Rockwell Antique / Stymie Bold Italic)
2111	GO TO 21/211/2111 (Binney Old Style Italic)
4102	Washington Text, German Adaptation
4491	Script Caps
